"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"'s-Hertogenbosch";69,6;108;190,8;296
"Aa en Hunze";3,9;1;39,3;10
"Aalsmeer";22;7;94,2;30
"Aalten";7,4;2;99,6;27
"Achtkarspelen";0;0;18;5
"Alblasserdam";39,7;8;133,9;27
"Albrandswaard";31,3;8;222,8;57
"Alkmaar";42,9;47;150,8;165
"Almelo";24,6;18;87,6;64
"Almere";44,8;95;82,6;175
"Alphen aan den Rijn";43,8;49;94,7;106
"Alphen-Chaam";146,9;15;391,7;40
"Altena";48,2;27;157,2;88
"Ameland";0;0;0;0
"Amersfoort";30,5;48;76,9;121
"Amstelveen";49,1;45;222,5;204
"Amsterdam";45,9;401;140,6;1227
"Apeldoorn";23,2;38;109,9;180
"Appingedam";17,2;2;17,2;2
"Arnhem";32,8;53;105,3;170
"Assen";14,6;10;42,3;29
"Asten";71,7;12;268,9;45
"Baarle-Nassau";14,6;1;58,3;4
"Baarn";32,2;8;104,5;26
"Barendrecht";57,5;28;147,8;72
"Barneveld";20,3;12;130,3;77
"Beek";88,2;14;176,5;28
"Beekdaelen";111,2;40;214;77
"Beemster";39,9;4;79,8;8
"Beesel";148,3;20;244,8;33
"Berg en Dal";82,9;29;360,1;126
"Bergeijk";69,7;13;182,4;34
"Bergen (L.)";45,9;6;84,1;11
"Bergen (NH.)";53,6;16;154,1;46
"Bergen op Zoom";28,2;19;85,9;58
"Berkelland";11,4;5;75,4;33
"Bernheze";243,2;76;633,7;198
"Best";103,4;31;150,1;45
"Beuningen";69,5;18;154,5;40
"Beverwijk";36;15;132,2;55
"Bladel";73,5;15;186,3;38
"Blaricum";43,3;5;147,4;17
"Bloemendaal";25,5;6;157;37
"Bodegraven-Reeuwijk";20,1;7;83,2;29
"Boekel";287,5;31;741,8;80
"Borger-Odoorn";7,8;2;15,7;4
"Borne";55,8;13;171,6;40
"Borsele";17,6;4;79,2;18
"Boxmeer";57,9;17;234,9;69
"Boxtel";55,2;17;126,6;39
"Breda";74,9;138;199,2;367
"Brielle";63,7;11;133,1;23
"Bronckhorst";13,9;5;83,2;30
"Brummen";43,4;9;115,6;24
"Brunssum";115;32;204,9;57
"Bunnik";46,1;7;131,7;20
"Bunschoten";18,3;4;137,2;30
"Buren";26,2;7;89,7;24
"Capelle aan den IJssel";49,1;33;244,2;164
"Castricum";36,1;13;152,8;55
"Coevorden";25,5;9;113,3;40
"Cranendonck";269,3;57;642,5;136
"Cuijk";35,8;9;159,1;40
"Culemborg";69,1;20;131,2;38
"Dalfsen";52,5;15;185,4;53
"Dantumadiel";10,6;2;31,7;6
"De Bilt";44,1;19;183,2;79
"De Fryske Marren";25,2;13;89,2;46
"De Ronde Venen";60,7;27;128,2;57
"De Wolden";32,9;8;111;27
"Delft";34,7;36;91,6;95
"Delfzijl";20,3;5;52,7;13
"Den Helder";14,2;8;48;27
"Deurne";154;50;338,7;110
"Deventer";36,7;37;116,2;117
"Diemen";16,2;5;65;20
"Dinkelland";64,2;17;226,7;60
"Doesburg";45,1;5;144,4;16
"Doetinchem";19;11;101,7;59
"Dongen";57,2;15;194,5;51
"Dordrecht";51,1;61;136,6;163
"Drechterland";15,2;3;167,4;33
"Drimmelen";62,3;17;154;42
"Dronten";50,5;21;151,6;63
"Druten";100,4;19;396,4;75
"Duiven";39,8;10;107,5;27
"Echt-Susteren";110,7;35;202,4;64
"Edam-Volendam";52,5;19;129,8;47
"Ede";41,8;49;105,8;124
"Eemnes";10,8;1;119;11
"Eersel";103,6;20;217,5;42
"Eijsden-Margraten";182,5;47;442,7;114
"Eindhoven";58,4;137;131,4;308
"Elburg";51,8;12;315,2;73
"Emmen";12,1;13;54,2;58
"Enkhuizen";91,4;17;134,5;25
"Enschede";29,4;47;87;139
"Epe";66,3;22;238,1;79
"Ermelo";66,7;18;259,2;70
"Etten-Leur";84,3;37;264,4;116
"Geertruidenberg";41,8;9;102,1;22
"Geldrop-Mierlo";57,9;23;173,7;69
"Gemert-Bakel";224,6;69;432,9;133
"Gennep";82,7;14;242,3;41
"Gilze en Rijen";64,3;17;196,7;52
"Goeree-Overflakkee";93,9;47;429,6;215
"Goes";26,3;10;152,3;58
"Goirle";104,6;25;251;60
"Gooise Meren";36,2;21;127,5;74
"Gorinchem";37,8;14;302,6;112
"Gouda";42,2;31;201,5;148
"Grave";136,7;17;337,7;42
"Groningen";6,9;16;58,8;137
"Gulpen-Wittem";98,8;14;289,2;41
"Haaksbergen";53,5;13;164,5;40
"Haaren";104,4;15;215,7;31
"Haarlem";31,9;52;133,8;218
"Haarlemmermeer";34;53;101,3;158
"Halderberge";36,3;11;142;43
"Hardenberg";32,8;20;203,5;124
"Harderwijk";31;15;128;62
"Hardinxveld-Giessendam";5,5;1;136,6;25
"Harlingen";19,1;3;70;11
"Hattem";81,9;10;294,8;36
"Heemskerk";63,8;25;171;67
"Heemstede";33;9;293,7;80
"Heerde";139,9;26;570,3;106
"Heerenveen";23,8;12;114,9;58
"Heerhugowaard";38,2;22;152,8;88
"Heerlen";108;94;235,5;205
"Heeze-Leende";74,3;12;260,1;42
"Heiloo";37,5;9;141,8;34
"Hellendoorn";19,5;7;114,1;41
"Hellevoetsluis";29,9;12;124,5;50
"Helmond";87,6;81;238;220
"Hendrik-Ido-Ambacht";16;5;70,5;22
"Hengelo";19,7;16;123,2;100
"Het Hogeland";14,6;7;46;22
"Heumen";97,3;16;267,5;44
"Heusden";80,5;36;187,9;84
"Hillegom";27;6;90,1;20
"Hilvarenbeek";38,7;6;180,5;28
"Hilversum";23,1;21;77;70
"Hoeksche Waard";73,2;64;180,7;158
"Hof van Twente";40;14;137,1;48
"Hollands Kroon";53,7;26;105,3;51
"Hoogeveen";18;10;73,6;41
"Hoorn";32,8;24;76,5;56
"Horst aan de Maas";94,3;40;212,1;90
"Houten";35,9;18;181,5;91
"Huizen";43,6;18;116,3;48
"Hulst";29;8;90,7;25
"IJsselstein";90,9;31;216,9;74
"Kaag en Braassem";22;6;51,3;14
"Kampen";93,9;51;419,6;228
"Kapelle";15,8;2;118,2;15
"Katwijk";27,4;18;126,2;83
"Kerkrade";107,1;49;207,7;95
"Koggenland";30,8;7;118,7;27
"Krimpen aan den IJssel";27,1;8;135,4;40
"Krimpenerwaard";71;40;170,5;96
"Laarbeek";150,9;34;328,5;74
"Landerd";184,4;29;629,4;99
"Landgraaf";109,5;41;240,3;90
"Landsmeer";26,1;3;147,9;17
"Langedijk";53,3;15;127,9;36
"Lansingerland";51,3;32;198,7;124
"Laren";71;8;186,3;21
"Leeuwarden";25;31;37,9;47
"Leiden";25,6;32;74,3;93
"Leiderdorp";33,3;9;66,5;18
"Leidschendam-Voorburg";22,2;17;77,1;59
"Lelystad";54,7;43;106,8;84
"Leudal";144,9;52;351;126
"Leusden";26,3;8;102;31
"Lingewaard";51,5;24;126,6;59
"Lisse";21,8;5;56,6;13
"Lochem";29,6;10;127,5;43
"Loon op Zand";85,4;20;179,4;42
"Lopik";117,5;17;200,4;29
"Loppersum";0;0;21;2
"Losser";26,4;6;66,1;15
"Maasdriel";59,9;15;107,9;27
"Maasgouw";87,6;21;221,2;53
"Maassluis";42,1;14;111,4;37
"Maastricht";111,1;135;362;440
"Medemblik";33,3;15;110,9;50
"Meerssen";79,7;15;318,6;60
"Meierijstad";204,4;166;485,2;394
"Meppel";14,7;5;73,7;25
"Middelburg";26,6;13;69,7;34
"Midden-Delfland";20,7;4;62;12
"Midden-Drenthe";18,1;6;51,2;17
"Midden-Groningen";9,9;6;36,2;22
"Mill en Sint Hubert";82,3;9;201,1;22
"Moerdijk";24,2;9;110,4;41
"Molenlanden";36,4;16;170,7;75
"Montferland";25;9;130,5;47
"Montfoort";86,2;12;208,3;29
"Mook en Middelaar";63,7;5;305,8;24
"Neder-Betuwe";127,4;31;258,8;63
"Nederweert";164,5;28;229,1;39
"Nieuwegein";47,3;30;108,7;69
"Nieuwkoop";24,3;7;114,5;33
"Nijkerk";48,6;21;99,6;43
"Nijmegen";62,5;111;224;398
"Nissewaard";37,5;32;124,4;106
"Noardeast-Fryslân";13,3;6;50,8;23
"Noord-Beveland";13,5;1;67,6;5
"Noordenveld";6,4;2;41,6;13
"Noordoostpolder";19;9;74,1;35
"Noordwijk";29,9;13;62;27
"Nuenen, Gerwen en Nederwetten";59,9;14;149,7;35
"Nunspeet";104,1;29;416,6;116
"Oegstgeest";24,2;6;108,7;27
"Oirschot";64,1;12;203;38
"Oisterwijk";61;16;179,1;47
"Oldambt";5,2;2;15,7;6
"Oldebroek";97,3;23;346,8;82
"Oldenzaal";44;14;122,5;39
"Olst-Wijhe";54,8;10;180,8;33
"Ommen";38,9;7;177,7;32
"Oost Gelre";27;8;128,3;38
"Oosterhout";60,7;34;128,6;72
"Ooststellingwerf";3,9;1;7,9;2
"Oostzaan";82,2;8;195,2;19
"Opmeer";8,4;1;42,2;5
"Opsterland";16,8;5;57,2;17
"Oss";121,8;112;354,6;326
"Oude IJsselstreek";22,8;9;104,1;41
"Ouder-Amstel";35,6;5;163,9;23
"Oudewater";205,4;21;391,2;40
"Overbetuwe";110,6;53;206,6;99
"Papendrecht";21,8;7;124,5;40
"Peel en Maas";308,6;134;518,2;225
"Pekela";32,8;4;32,8;4
"Pijnacker-Nootdorp";34,3;19;115,7;64
"Purmerend";67,7;55;174,8;142
"Putten";12,4;3;66,4;16
"Raalte";53;20;159,1;60
"Reimerswaal";17,6;4;96,8;22
"Renkum";44,6;14;114,6;36
"Renswoude";73,4;4;220,3;12
"Reusel-De Mierden";61;8;129,7;17
"Rheden";70,9;31;125,8;55
"Rhenen";19,9;4;74,5;15
"Ridderkerk";62,8;29;151,5;70
