"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";426;274,6;124;79,9;66;42,5
"Aa en Hunze";14;55;1;3,9;0;0
"Aalsmeer";36;113;9;28,3;2;6,3
"Aalten";53;195,4;6;22,1;5;18,4
"Achtkarspelen";10;35,9;0;0;0;0
"Alblasserdam";40;198,4;10;49,6;1;5
"Albrandswaard";85;332,2;10;39,1;7;27,4
"Alkmaar";214;195,5;52;47,5;22;20,1
"Almelo";88;120,4;22;30,1;7;9,6
"Almere";316;149,2;115;54,3;12;5,7
"Alphen aan den Rijn";158;141,2;57;50,9;22;19,7
"Alphen-Chaam";45;440,6;17;166,5;5;49
"Altena";116;207,2;30;53,6;11;19,6
"Ameland";0;0;0;0;0;0
"Amersfoort";163;103,6;56;35,6;22;14
"Amstelveen";291;317,4;55;60;33;36
"Amsterdam";1842;211;545;62,4;175;20,1
"Apeldoorn";342;208,8;67;40,9;40;24,4
"Appingedam";5;42,9;3;25,8;0;0
"Arnhem";249;154,3;61;37,8;23;14,3
"Assen";39;56,8;12;17,5;2;2,9
"Asten";70;418,3;16;95,6;10;59,8
"Baarle-Nassau";5;72,9;1;14,6;0;0
"Baarn";45;180,9;11;44,2;7;28,1
"Barendrecht";108;221,7;31;63,6;10;20,5
"Barneveld";103;174,3;18;30,5;6;10,2
"Beek";40;252,1;15;94,5;4;25,2
"Beekdaelen";146;405,8;47;130,6;20;55,6
"Beemster";9;89,8;4;39,9;1;10
"Beesel";41;304,1;20;148,3;8;59,3
"Berg en Dal";165;471,6;32;91,5;16;45,7
"Bergeijk";50;268,3;16;85,8;4;21,5
"Bergen (L.)";21;160,5;7;53,5;2;15,3
"Bergen (NH.)";50;167,5;16;53,6;3;10,1
"Bergen op Zoom";105;155,6;21;31,1;8;11,9
"Berkelland";67;153,1;6;13,7;6;13,7
"Bernheze";257;822,5;95;304;57;182,4
"Best";61;203,4;31;103,4;10;33,4
"Beuningen";60;231,7;19;73,4;5;19,3
"Beverwijk";70;168,2;15;36;8;19,2
"Bladel";54;264,8;17;83,4;8;39,2
"Blaricum";24;208;7;60,7;0;0
"Bloemendaal";44;186,7;7;29,7;4;17
"Bodegraven-Reeuwijk";46;131,9;7;20,1;2;5,7
"Boekel";88;816;35;324,6;21;194,7
"Borger-Odoorn";8;31,3;4;15,7;3;11,7
"Borne";49;210,2;14;60,1;6;25,7
"Borsele";22;96,8;5;22;0;0
"Boxmeer";110;374,5;18;61,3;22;74,9
"Boxtel";58;188,3;22;71,4;12;39
"Breda";443;240,4;144;78,1;55;29,8
"Brielle";30;173,6;11;63,7;0;0
"Bronckhorst";63;174,7;13;36,1;6;16,6
"Brummen";36;173,4;19;91,5;7;33,7
"Brunssum";81;291,2;40;143,8;13;46,7
"Bunnik";31;204,1;7;46,1;1;6,6
"Bunschoten";54;246,9;9;41,2;6;27,4
"Buren";41;153,3;15;56,1;6;22,4
"Capelle aan den IJssel";250;372,3;43;64;46;68,5
"Castricum";74;205,6;14;38,9;9;25
"Coevorden";54;153;13;36,8;1;2,8
"Cranendonck";160;755,9;60;283,5;32;151,2
"Cuijk";65;258,6;11;43,8;9;35,8
"Culemborg";54;186,5;21;72,5;7;24,2
"Dalfsen";76;265,9;15;52,5;6;21
"Dantumadiel";6;31,7;2;10,6;0;0
"De Bilt";121;280,6;24;55,7;12;27,8
"De Fryske Marren";55;106,7;14;27,1;5;9,7
"De Ronde Venen";80;179,9;39;87,7;10;22,5
"De Wolden";44;180,9;11;45,2;2;8,2
"Delft";119;114,8;38;36,7;9;8,7
"Delfzijl";16;64,9;5;20,3;0;0
"Den Helder";30;53,3;8;14,2;1;1,8
"Deurne";137;421,9;51;157;18;55,4
"Deventer";205;203,5;43;42,7;29;28,8
"Diemen";81;263,1;16;52;10;32,5
"Dinkelland";69;260,7;18;68;7;26,4
"Doesburg";28;252,8;7;63,2;6;54,2
"Doetinchem";92;158,6;17;29,3;14;24,1
"Dongen";70;266,9;18;68,6;11;41,9
"Dordrecht";254;212,9;79;66,2;23;19,3
"Drechterland";42;213;4;20,3;8;40,6
