Datum,Aantal
24-05-2020,8
23-05-2020,17
22-05-2020,24
21-05-2020,34
20-05-2020,36
19-05-2020,46
18-05-2020,59
17-05-2020,68
16-05-2020,77
15-05-2020,87
14-05-2020,93
13-05-2020,102
12-05-2020,109
11-05-2020,119
10-05-2020,128
09-05-2020,139
08-05-2020,150
07-05-2020,147
06-05-2020,151
05-05-2020,155
04-05-2020,166
03-05-2020,171
02-05-2020,175
01-05-2020,187
30-04-2020,195
29-04-2020,204
28-04-2020,217
27-04-2020,231
26-04-2020,237
25-04-2020,239
24-04-2020,246
23-04-2020,252
22-04-2020,263
21-04-2020,273
20-04-2020,275
19-04-2020,282
18-04-2020,284
17-04-2020,289
16-04-2020,298
15-04-2020,301
14-04-2020,307
13-04-2020,310
12-04-2020,314
11-04-2020,317
10-04-2020,324
09-04-2020,327
08-04-2020,332
07-04-2020,333
06-04-2020,338
05-04-2020,337
04-04-2020,339
03-04-2020,342
02-04-2020,342
01-04-2020,342
31-03-2020,344
