Gemeente,Provincie,Aantal
Amsterdam,Noord-Holland,1
Apeldoorn,Gelderland,1
Barendrecht,Zuid-Holland,1
Boxtel,Noord-Brabant,1
Capelle aan den IJssel,Zuid-Holland,1
Doetinchem,Gelderland,1
Dongen,Noord-Brabant,1
Epe,Gelderland,1
Ermelo,Gelderland,1
Gilze en Rijen,Noord-Brabant,1
Heerlen,Limburg,1
Lochem,Gelderland,1
Montferland,Gelderland,1
Oost Gelre,Gelderland,1
Oude IJsselstreek,Gelderland,1
Overbetuwe,Gelderland,1
Rotterdam,Zuid-Holland,4
Tilburg,Noord-Brabant,2
Vught,Noord-Brabant,1
Winterswijk,Gelderland,1
Zoetermeer,Zuid-Holland,2
Zutphen,Gelderland,1
