date,Noord-Brabant,Drenthe,Noord-Holland,Gelderland,Friesland,Zuid-Holland,Overijssel,Flevoland,Utrecht,Groningen,Limburg,Zeeland
05-05-2020,2610,115,1553,1348,127,1943,540,254,828,74,1520,148
04-05-2020,2582,115,1537,1333,126,1929,535,250,827,73,1517,147
03-05-2020,2577,115,1532,1321,126,1923,535,248,822,73,1510,147
02-05-2020,2562,114,1528,1316,126,1914,534,248,817,73,1508,146
01-05-2020,2528,114,1517,1299,125,1888,534,246,815,73,1503,146
30-04-2020,2511,114,1496,1280,125,1865,532,244,805,73,1493,146
29-04-2020,2493,113,1489,1267,125,1840,530,244,806,72,1475,146
28-04-2020,2488,106,1472,1253,125,1831,528,242,795,71,1469,146
27-04-2020,2458,106,1466,1237,124,1821,528,242,785,71,1460,142
26-04-2020,2447,106,1462,1233,124,1802,524,242,771,71,1452,142
25-04-2020,2433,106,1454,1225,124,1779,524,237,769,71,1438,142
24-04-2020,2406,102,1443,1203,123,1758,521,230,767,71,1436,141
23-04-2020,2363,102,1426,1194,122,1739,514,226,761,69,1423,140
22-04-2020,2311,102,1411,1179,121,1717,511,225,755,68,1406,138
21-04-2020,2282,99,1390,1166,119,1701,511,221,742,67,1387,136
20-04-2020,2265,91,1380,1144,119,1669,505,217,741,67,1369,136
19-04-2020,2261,91,1364,1125,117,1655,503,216,728,67,1366,135
18-04-2020,2247,91,1343,1111,115,1626,499,212,719,67,1355,133
17-04-2020,2229,91,1330,1095,114,1594,488,210,700,65,1341,132
16-04-2020,2202,89,1299,1068,113,1563,485,208,687,65,1328,126
15-04-2020,2181,81,1260,1047,112,1531,480,201,663,65,1308,125
14-04-2020,2154,79,1227,1031,110,1487,470,195,628,65,1295,125
13-04-2020,2124,79,1176,1005,107,1449,456,194,612,65,1265,123
12-04-2020,2072,79,1155,989,105,1419,451,188,603,64,1261,123
11-04-2020,2023,79,1144,948,104,1380,437,188,594,62,1235,122
10-04-2020,1980,78,1122,919,102,1348,434,182,575,58,1210,119
09-04-2020,1930,76,1102,899,98,1283,426,171,564,56,1184,115
08-04-2020,1893,72,1072,866,97,1233,416,165,549,56,1140,112
07-04-2020,1834,69,1045,826,97,1167,387,158,522,53,1098,111
06-04-2020,1772,60,995,788,95,1095,368,154,506,51,1060,104
05-04-2020,1759,56,969,754,92,1032,355,152,470,51,1001,99
04-04-2020,1732,56,941,720,88,984,344,145,434,48,946,99
03-04-2020,1675,49,866,691,84,922,322,135,411,46,911,94
02-04-2020,1540,44,788,647,77,852,309,124,363,45,828,90
01-04-2020,1441,43,746,607,72,782,277,106,326,43,559,86
31-03-2020,1321,38,687,533,64,701,251,98,309,40,525,76
