date,Noord-Brabant,Drenthe,Noord-Holland,Gelderland,Friesland,Zuid-Holland,Overijssel,Flevoland,Utrecht,Groningen,Limburg,Zeeland
12-04-2020,62,12,47,51,13,52,25,6,26,11,31,13
11-04-2020,62,12,47,51,13,52,25,6,26,11,31,13
10-04-2020,62,12,47,51,13,52,25,6,26,11,31,13
09-04-2020,62,12,47,51,13,52,25,6,26,11,31,13
08-04-2020,62,12,47,51,13,52,25,6,26,11,31,13
07-04-2020,62,12,47,51,13,52,25,6,26,10,31,13
06-04-2020,62,12,47,51,13,52,25,6,26,10,31,12
05-04-2020,62,12,47,50,13,52,25,6,26,10,31,12
04-04-2020,62,12,47,50,13,52,25,6,26,10,31,12
03-04-2020,62,12,47,50,13,52,25,6,26,10,31,12
02-04-2020,62,12,47,50,13,52,25,6,26,10,31,12
01-04-2020,62,12,47,50,12,52,25,6,26,10,30,12
31-03-2020,61,12,47,50,12,51,25,6,26,10,30,12
