Gemeente,Provincie,13-05-2020,12-05-2020,11-05-2020,10-05-2020,09-05-2020,08-05-2020,07-05-2020,06-05-2020,05-05-2020,04-05-2020,03-05-2020,02-05-2020,01-05-2020,30-04-2020,29-04-2020,28-04-2020,27-04-2020,26-04-2020,25-04-2020,24-04-2020,23-04-2020,22-04-2020,21-04-2020,20-04-2020,19-04-2020,18-04-2020,17-04-2020,16-04-2020,15-04-2020,14-04-2020,13-04-2020,12-04-2020,11-04-2020,10-04-2020,09-04-2020,08-04-2020,07-04-2020,06-04-2020,05-04-2020,04-04-2020,03-04-2020,02-04-2020,01-04-2020,31-03-2020
's-Hertogenbosch,Noord-Brabant,126,126,126,126,126,126,126,125,124,124,124,124,124,124,124,123,123,122,122,120,118,117,117,115,115,115,115,111,110,108,106,106,103,102,102,101,97,87,84,81,80,72,69,67
Aa en Hunze,Drenthe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aalsmeer,Noord-Holland,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,8,8,8,8,8,7,7,7,6,5,5
Aalten,Gelderland,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Achtkarspelen,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alblasserdam,Zuid-Holland,10,10,9,9,9,9,9,9,9,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,5,5,5,4,3,2,2
Albrandswaard,Zuid-Holland,14,14,12,12,12,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,6,6,5,5,5,5,5,5,5,4
Alkmaar,Noord-Holland,53,53,53,53,53,53,53,53,53,53,53,53,52,52,52,52,52,52,52,51,50,50,49,49,49,49,49,48,48,47,47,45,43,42,40,37,36,35,34,33,28,24,21,19
Almelo,Overijssel,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,20,20,20,20,20,20,20,18,18,18,18,18,18,18,16,15,15,15,14,13,13,12,10,8
Almere,Flevoland,122,121,121,121,121,120,119,119,119,119,118,118,116,115,115,113,113,113,109,109,108,107,105,103,103,101,101,99,98,95,94,91,90,88,84,83,80,77,77,72,67,61,50,46
Alphen aan den Rijn,Zuid-Holland,59,58,58,58,58,58,58,57,58,57,57,57,57,57,57,57,57,57,57,56,56,55,55,53,53,52,51,51,50,49,49,48,46,46,46,43,40,40,38,37,36,33,32,29
Alphen-Chaam,Noord-Brabant,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,14,13,11,11,10,10,9,9
Altena,Noord-Brabant,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,28,27,25,25,24,24,24,24,24,22,21,21,21,19,19,17
Ameland,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amersfoort,Utrecht,58,58,58,58,58,58,56,56,56,56,56,56,56,56,56,56,56,56,56,56,54,54,53,54,53,52,52,51,51,48,48,48,48,47,43,42,37,36,36,34,31,28,24,24
Amstelveen,Noord-Holland,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,52,51,50,49,49,48,48,47,46,45,42,42,42,40,40,38,39,38,37,37,33,31,31,28
Amsterdam,Noord-Holland,595,595,590,585,584,583,580,580,575,567,563,559,556,545,540,533,527,525,518,512,504,495,480,476,466,452,453,439,413,401,368,355,354,346,344,340,341,330,323,306,286,263,246,244
Apeldoorn,Gelderland,77,77,77,77,78,74,70,70,70,70,69,69,68,67,63,62,59,59,58,54,51,50,49,45,44,43,42,41,38,38,38,37,34,34,33,30,30,28,28,26,24,22,22,19
Appingedam,Groningen,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
Arnhem,Gelderland,64,64,64,64,64,64,66,66,64,64,63,63,61,61,60,58,58,58,58,58,58,57,57,57,56,56,56,54,54,53,50,50,49,49,49,48,46,44,40,39,37,33,30,28
Assen,Drenthe,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,7,7,7,7,7,7,5
Asten,Noord-Brabant,18,18,18,18,18,18,18,18,18,18,18,18,17,16,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,12,12,11,11,9,9,9,8,8,8,8,7,6,5,4
Baarle-Nassau,Noord-Brabant,9,9,9,9,9,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Baarn,Utrecht,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,11,11,11,10,10,10,10,10,9,8,8,7,7,7,7,7,7,7,7,7,7,4,2,2
Barendrecht,Zuid-Holland,37,36,36,36,36,36,37,36,36,36,36,36,33,31,31,31,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,27,27,27,24,22,21,21,21,21,20,18,17,16
Barneveld,Gelderland,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,16,16,15,14,13,12,12,12,12,12,12,11,11,10,10,9,9,9,8,8,8,5
Beek,Limburg,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,12,12,12,12,11,11,11,10,10,10,7,0,0
